"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D8_2","LED-3mm","6299.213mil","590.553mil","6299.213mil","590.553mil","6349.213mil","590.553mil","T","180.00","LED"
"D8_3","LED-3mm","2559.056mil","3641.734mil","2559.056mil","3641.734mil","2559.056mil","3691.734mil","T","270.00","LED"
"D8_4","LED-3mm","7578.741mil","1692.915mil","7578.741mil","1692.915mil","7578.741mil","1642.915mil","T","90.00","LED"
"D51_1","Diode_SOD-123","1228.347mil","1362.207mil","1228.347mil","1362.207mil","1163.977mil","1362.207mil","B","180.00","BAV20W"
"D51_2","Diode_SOD-123","413.386mil","1437.008mil","413.386mil","1437.008mil","413.386mil","1501.378mil","B","90.00","BAV20W"
"D61","Diode_SOD-123","165.354mil","2047.244mil","165.354mil","2047.244mil","165.354mil","1982.874mil","B","270.00","BAV20W"
"P1","MIDI","7901.575mil","3688.978mil","7901.575mil","3688.978mil","7901.575mil","3588.978mil","B","90.00","MIDI Out"
"P2","HDR1X6","7690.945mil","133.86mil","7440.946mil","133.86mil","7440.945mil","133.86mil","B","360.00","Program / Debug"
"P IN","MIDI","7901.575mil","3295.278mil","7901.575mil","3295.278mil","7901.575mil","3195.278mil","B","90.00","MIDI IN Opt"
"R1","RES_1206","2287.402mil","5338.586mil","2283.465mil","5338.585mil","2215.551mil","5338.586mil","B","360.00","680"
"R2","RES_1206","2460.629mil","4669.29mil","2464.567mil","4669.291mil","2532.48mil","4669.29mil","B","180.00","240"
"R3","RES_1206","925.198mil","5338.584mil","921.26mil","5338.585mil","853.347mil","5338.584mil","B","360.00","330"
"R4","RES_1206","744.096mil","4669.292mil","740.158mil","4669.293mil","672.245mil","4669.292mil","B","360.00","240"
"R31","RES_1206","354.332mil","1039.371mil","354.331mil","1043.309mil","354.332mil","1111.222mil","B","270.00","10K"
"R32","RES_1206","452.755mil","1039.371mil","452.757mil","1035.435mil","452.755mil","967.521mil","B","90.00","10K"
"R41","RES_1206","7338.583mil","4389.766mil","7334.646mil","4389.766mil","7266.733mil","4389.766mil","B","360.00","10K"
"R42","RES_1206","7732.285mil","4389.764mil","7736.221mil","4389.766mil","7804.135mil","4389.764mil","B","180.00","10K"
"R43","RES_1206","7480.315mil","4291.34mil","7484.253mil","4291.341mil","7552.165mil","4291.34mil","B","180.00","10K"
"R61","RES_1206","590.551mil","2287.403mil","590.552mil","2283.466mil","590.551mil","2215.552mil","B","90.00","39k"
"R62","RES_1206","1574.803mil","2287.403mil","1574.804mil","2283.466mil","1574.803mil","2215.552mil","B","90.00","39k"
"R63","RES_1206","2559.055mil","2287.403mil","2559.056mil","2283.466mil","2559.055mil","2215.552mil","B","90.00","39k"
"R64","RES_1206","3543.307mil","2287.403mil","3543.308mil","2283.466mil","3543.307mil","2215.552mil","B","90.00","39k"
"R65","RES_1206","4527.559mil","2287.403mil","4527.56mil","2283.466mil","4527.559mil","2215.552mil","B","90.00","39k"
"R66","RES_1206","5511.811mil","2287.403mil","5511.812mil","2283.466mil","5511.811mil","2215.552mil","B","90.00","39k"
"R67","RES_1206","6496.063mil","2287.403mil","6496.064mil","2283.466mil","6496.063mil","2215.552mil","B","90.00","39k"
"R68","RES_1206","7480.315mil","2287.403mil","7480.316mil","2283.466mil","7480.315mil","2215.552mil","B","90.00","39k"
"R69","RES_1206","7125.983mil","3940.947mil","7125.985mil","3937.01mil","7125.983mil","3869.096mil","B","90.00","39k"
"R71_1","RES_1206","311.025mil","1870.079mil","314.961mil","1870.081mil","382.875mil","1870.079mil","B","180.00","10K"
"R71_2","RES_1206","1295.276mil","1870.08mil","1299.213mil","1870.081mil","1367.127mil","1870.08mil","B","180.00","10K"
"R71_3","RES_1206","2279.528mil","1870.08mil","2283.465mil","1870.081mil","2351.379mil","1870.08mil","B","180.00","10K"
"R71_4","RES_1206","3263.781mil","1870.08mil","3267.717mil","1870.081mil","3335.631mil","1870.08mil","B","180.00","10K"
"R71_5","RES_1206","4248.032mil","1870.08mil","4251.969mil","1870.081mil","4319.883mil","1870.08mil","B","180.00","10K"
"R71_6","RES_1206","5232.284mil","1870.08mil","5236.221mil","1870.081mil","5304.135mil","1870.08mil","B","180.00","10K"
"R71_7","RES_1206","6216.535mil","1870.08mil","6220.473mil","1870.081mil","6288.385mil","1870.08mil","B","180.00","10K"
"R71_8","RES_1206","7200.788mil","1870.08mil","7204.725mil","1870.081mil","7272.639mil","1870.08mil","B","180.00","10K"
